,,Title,IP2 Regression,,,,
,,FPGA Release,version cc,,,,
,,Testbench (SVN tag),version_cc_original,,,,
,,Testbench (SVN tag location),svn://10.3.0.128/ip1x_fpga_vnv/tags/version_cc_original,,,,
,,Done by,Suresh Narayanan,,,,
,,Test start date,21-11-2014,,,,
,,Total Tests,194,,,,
,,Total Tests Passed,187,,,,
,,Total Tests Failed,7,,,,
,,Total Tests Not Complete,0,,,,
,,Total simulation time (approx),22:46:40,,,,
,,,,,,,
S.No.,Test Name, Test Status, Test Start Time, Test End Time, Test Run Time,Redmine/Jira ID,Bug Description
,,,,,,,
87,GLCK/IP2_gl_TgtHSLOnlyToCat6RNTSCMult1/,PASS,Sat 11/22/2014  3:31:52,Sat 11/22/2014  3:35:33,00:03:41,,
88,GLCK/IP2_gl_TgtInternalVsync/,PASS,Sat 11/22/2014  3:35:33,Sat 11/22/2014  3:41:00,00:05:27,,
89,GLCK/IP2_gl_TgtMaxMinFreqChk/,FAIL,12-01-2014 12:45,12-01-2014 12:54,00:08:32,IPTWO-579,Improvement to Genlock stability debug
90,GLCK/IP2_gl_TgtOnlyBNC/,PASS,Sat 11/22/2014  3:41:00,Sat 11/22/2014  3:44:41,00:03:41,,
91,GLCK/IP2_gl_TgtOnlyBNCPAL/,PASS,Sat 11/22/2014  3:44:41,Sat 11/22/2014  3:48:23,00:03:42,,
92,GLCK/IP2_gl_TgtOnlyBNCPALMult1/,PASS,Sat 11/22/2014  3:48:23,Sat 11/22/2014  3:52:03,00:03:40,,
93,GLCK/IP2_gl_TgtOnlyBNCRNTSC/,PASS,Sat 11/22/2014  3:52:03,Sat 11/22/2014  3:55:47,00:03:44,,
94,GLCK/IP2_gl_TgtOnlyBNCRNTSCMult1/,PASS,Sat 11/22/2014  3:55:47,Sat 11/22/2014  3:59:27,00:03:40,,
95,GLCK/IP2_gl_TgtPriorityChk/,PASS,Sat 11/22/2014  3:59:27,Sat 11/22/2014  4:04:03,00:04:36,,
96,GLCK/IP2_gl_TgtPriorityChkMult1/,PASS,Sat 11/22/2014  4:04:03,Sat 11/22/2014  4:08:40,00:04:37,,
